"","PLOT","REP","INSTN","NTP","LB1","LB2","LB3","LB4","LB5","LB6","LB7","LB8","AUDPC","rAUDPC","SAUDPC"
"671","671","3","CIP396063.16",10,0,10,20,20,50,70,95,100,2220,0.426923076923077,13
"672","672","3","CIP396023.109",10,0,0,0,0,10,30,50,80,910,0.175,5.3
"673","673","3","CIP392745.7",10,0,30,70,70,90,100,100,100,3615,0.695192307692308,21.1
"674","674","3","CIP391919.3",10,0,0,3,2,5,30,30,40,630,0.121153846153846,3.7
"675","675","3","CIP396038.105",10,0,0,2,2,20,30,30,40,728,0.14,4.3
"676","676","3","CIP394034.7",10,0,10,30,30,50,75,95,100,2395,0.460576923076923,14
"677","677","3","CIP304347.6",10,0,5,20,20,30,50,55,90,1582.5,0.304326923076923,9.3
"678","678","3","CIP399085.30",10,0,0,10,10,10,10,10,40,490,0.0942307692307692,2.9
"679","679","3","CIP394906.6",10,0,2,5,5,10,30,30,60,787,0.151346153846154,4.6
"680","680","3","CIP399053.11",10,0,0,0,0,2,10,15,30,294,0.0565384615384615,1.7
"681","681","3","CIP384321.3",10,0,0,0,0,2,10,10,40,294,0.0565384615384615,1.7
"682","682","3","CIP694474.33",10,0,3,20,20,40,50,60,95,1688,0.324615384615385,9.9
"683","683","3","CIP397069.5",10,0,3,5,5,20,50,75,100,1460.5,0.280865384615385,8.5
"684","684","3","CIP398190.112",10,0,1,5,5,10,40,40,60,918.5,0.176634615384615,5.4
"685","685","3","CIP391004.18",10,0,10,30,45,60,75,90,100,2535,0.4875,14.8
"686","686","3","CIP391180.6",10,0,15,60,70,90,100,100,100,3417.5,0.657211538461538,20
"687","687","3","CIP399001.44",9,0,1,5,5,30,70,85,95,1706,0.328076923076923,10
"688","688","3","CIP390637.1",10,0,2,5,5,50,60,100,100,1907,0.366730769230769,11.2
"689","689","3","CIP393280.57",10,0,0,3,5,40,70,90,100,1806,0.347307692307692,10.6
"690","690","3","CIP391724.1",10,1,80,100,100,100,100,100,100,4535,0.872115384615385,26.5
"691","691","3","CIP301044.36",7,1,5,50,50,70,80,95,100,2812.5,0.540865384615385,16.5
"692","692","3","CIP381381.9",10,0,5,60,60,90,100,100,100,3262.5,0.627403846153846,19.1
"693","693","3","CIP391065.69",10,0,0,10,15,30,50,60,80,1435,0.275961538461538,8.4
"694","694","3","CIP393228.67",10,0,0,5,5,20,30,40,70,945,0.181730769230769,5.5
"695","695","3","Yunshu902",10,0,20,60,65,95,100,100,100,3460,0.665384615384615,20.2
"696","696","3","CIP304383.41",10,0,70,95,97,100,100,100,100,4389,0.844038461538462,25.7
"697","697","3","CIP800923",10,0,40,100,100,100,100,100,100,4190,0.805769230769231,24.5
"698","698","3","CIP396272.21",9,0,5,30,50,60,90,95,100,2667.5,0.512980769230769,15.6
"699","699","3","CIP397060.19",10,0,10,60,70,90,100,100,100,3375,0.649038461538462,19.7
"700","700","3","CIP398192.553",9,0,1,10,10,30,50,60,70,1373.5,0.264134615384615,8
"701","701","3","CIP394900.1",10,0,70,90,92,95,100,100,100,4284,0.823846153846154,25.1
"702","702","3","CIP397012.22",10,0,40,60,60,80,90,100,100,3420,0.657692307692308,20
"703","703","3","CIP397055.2",10,0,50,90,92,97,100,100,100,4128,0.793846153846154,24.1
"704","704","3","CIP301029.18",10,0,0,0,0,5,10,10,30,280,0.0538461538461538,1.6
"705","705","3","CIP391058.175",10,0,0,2,0,10,30,60,90,1029,0.197884615384615,6
"706","706","3","CIP398190.735",10,0,0,10,10,40,40,40,80,1260,0.242307692307692,7.4
"707","707","3","CIP393079.4",10,0,0,2,2,10,40,55,65,990.5,0.190480769230769,5.8
"708","708","3","CIP396268.9",10,0,2,10,10,20,50,50,80,1277,0.245576923076923,7.5
"709","709","3","CIP398180.612",10,0,0,2,2,15,30,35,65,815.5,0.156826923076923,4.8
"710","710","3","CIP304405.47",10,0,5,20,20,30,60,85,100,1897.5,0.364903846153846,11.1
"711","711","3","CIP393339.242",10,0,0,1,1,20,40,50,80,1064,0.204615384615385,6.2
"712","712","3","CIP398098.65",10,2,5,30,35,40,50,65,90,1907.5,0.366826923076923,11.2
"713","713","3","CIP396034.103",10,0,0,10,10,40,60,80,100,1750,0.336538461538462,10.2
"714","714","3","CIP395112.36",10,0,0,10,10,30,50,60,95,1452.5,0.279326923076923,8.5
"715","715","3","CIP300135.3",10,0,30,90,95,100,100,100,100,4000,0.769230769230769,23.4
"716","716","3","CIP394034.65",10,0,30,50,50,50,60,80,100,2635,0.506730769230769,15.4
"717","717","3","CIP398193.158",10,0,1,10,10,40,40,45,70,1268.5,0.243942307692308,7.4
"718","718","3","CIP397078.12",10,0,45,90,90,95,100,100,100,4057.5,0.780288461538462,23.7
"719","719","3","CIP395037.107",10,0,5,15,15,40,40,45,80,1407.5,0.270673076923077,8.2
"720","720","3","CIP392657.8",10,0,0,30,35,50,60,75,100,2100,0.403846153846154,12.3
"721","721","3","CIP399075.7",9,0,0,5,5,10,30,45,70,910,0.175,5.3
"722","722","3","CIP399067.22",9,0,0,20,20,30,40,45,70,1330,0.255769230769231,7.8
"723","723","3","CIP397039.53",10,0,2,60,60,90,90,100,100,3167,0.609038461538462,18.5
"724","724","3","CIP304406.31",10,0,45,90,95,100,100,100,100,4127.5,0.79375,24.1
"725","725","3","CIP391065.81",10,0,0,3,3,5,30,35,80,812,0.156153846153846,4.8
"726","726","3","CIP393617.1",9,0,0,20,20,30,50,55,85,1522.5,0.292788461538462,8.9
"727","727","3","CIP396034.268",10,0,15,30,30,40,50,60,90,1912.5,0.367788461538462,11.2
"728","728","3","CIP392759.1",10,0,20,60,60,75,80,90,100,3075,0.591346153846154,18
"729","729","3","CIP398208.620",10,0,0,5,5,10,30,55,60,945,0.181730769230769,5.5
"730","730","3","CIP394223.19",10,0,15,50,50,50,60,65,100,2402.5,0.462019230769231,14.1
"731","731","3","CIP392973.48",10,2,20,70,70,90,95,95,100,3470,0.667307692307692,20.3
"732","732","3","CIP396272.37",7,0,0,2,2,10,30,35,60,763,0.146730769230769,4.5
"733","733","3","CIP304387.39",8,3,45,95,100,100,100,100,100,4212.5,0.810096153846154,24.6
"734","734","3","CIP304345.102",10,2,20,60,60,70,80,85,100,3015,0.579807692307692,17.6
"735","735","3","CIP397036.7",10,0,45,70,70,85,90,95,100,3602.5,0.692788461538462,21.1
"736","736","3","CIP398098.205",10,0,0,1,1,5,20,20,40,469,0.0901923076923077,2.7
"737","737","3","CIP393371.157",10,0,2,10,15,20,40,45,70,1172,0.225384615384615,6.9
"738","738","3","CIP301026.23",10,0,5,60,65,70,90,95,100,3052.5,0.587019230769231,17.9
"739","739","3","CIP398098.570",10,0,0,10,10,30,70,75,95,1697.5,0.326442307692308,9.9
"740","740","3","CIP396031.119",10,0,2,20,25,60,90,95,100,2397,0.460961538461538,14
"741","741","3","CIP396063.1",10,0,0,10,15,30,60,65,100,1610,0.309615384615385,9.4
"742","742","3","CIP397079.6",10,0,35,70,75,85,90,93,100,3538.5,0.680480769230769,20.7
"743","743","3","CIP396273.48",10,0,10,40,40,60,70,75,90,2395,0.460576923076923,14
"744","744","3","CIP398208.29",10,0,5,50,50,60,60,65,100,2387.5,0.459134615384615,14
"745","745","3","CIP399072.28",10,0,0,5,5,30,40,40,70,1085,0.208653846153846,6.3
"746","746","3","CIP391046.14",10,0,5,80,85,95,95,98,100,3563.5,0.685288461538462,20.8
"747","747","3","CIP302476.108",10,0,40,90,95,100,100,100,100,4085,0.785576923076923,23.9
"748","748","3","CIP397030.31",10,0,2,30,30,40,50,55,85,1749.5,0.336442307692308,10.2
"749","749","3","CIP394614.117",10,0,0,10,10,40,70,78,95,1788.5,0.343942307692308,10.5
"750","750","3","CIP301055.53",9,0,20,60,60,80,90,95,100,3215,0.618269230769231,18.8
"751","751","3","CIP300048.12",10,0,60,95,100,100,100,100,100,4325,0.831730769230769,25.3
"752","752","3","CIP393284.39",10,0,2,2,2,10,30,30,70,780,0.15,4.6
"753","753","3","CIP302498.70",9,0,30,70,90,100,100,100,100,3825,0.735576923076923,22.4
"754","754","3","CIP396027.205",10,0,5,10,10,10,30,30,50,847.5,0.162980769230769,5
"755","755","3","CIP388611.22",10,0,10,20,30,50,70,85,100,2220,0.426923076923077,13
"756","756","3","CIP394898.13",10,0,2,10,10,20,30,30,50,892,0.171538461538462,5.2
"757","757","3","CIP394881.8",10,10,80,100,100,100,100,100,100,4580,0.880769230769231,26.8
"758","758","3","CIP304383.80",10,5,90,100,100,100,100,100,100,4640,0.892307692307692,27.1
"759","759","3","CIP396008.104",10,0,5,30,50,65,80,85,100,2562.5,0.492788461538462,15
"760","760","3","CIP398190.530",10,0,0,0,1,5,30,35,50,672,0.129230769230769,3.9
"761","761","3","CIP392740.4",10,2,50,95,95,100,100,100,100,4215,0.810576923076923,24.7
"762","762","3","CIP396180.22",10,0,5,5,5,15,40,45,70,1057.5,0.203365384615385,6.2
"763","763","3","CIP304350.118",10,3,90,100,100,100,100,100,100,4630,0.890384615384615,27.1
"764","764","3","CIP395197.5",10,0,20,50,65,80,90,95,100,3180,0.611538461538462,18.6
"765","765","3","CIP395017.229",10,0,0,1,1,10,40,40,50,819,0.1575,4.8
"766","766","3","CIP391580.30",9,0,30,50,55,90,95,95,100,3300,0.634615384615385,19.3
"767","767","3","CIP393079.24",10,0,0,10,10,30,50,55,80,1365,0.2625,8
"768","768","3","CIP398193.650",10,0,0,5,5,20,40,45,65,1032.5,0.198557692307692,6
"769","769","3","CIP392025.7",10,0,5,30,35,70,90,100,100,2667.5,0.512980769230769,15.6
"770","770","3","CIP397197.9",10,2,40,90,97,100,100,100,100,4109,0.790192307692308,24
"771","771","3","CIP391930.1",10,0,10,40,40,60,70,75,95,2412.5,0.463942307692308,14.1
"772","772","3","Yunshu103",10,0,1,10,10,30,70,80,100,1758.5,0.338173076923077,10.3
"773","773","3","CIP397099.6",10,3,40,90,85,90,90,90,100,3820,0.734615384615385,22.3
"774","774","3","CIP392634.49",10,0,0,2,2,30,50,60,80,1288,0.247692307692308,7.5
